n_boite,adresse,commune,cp,conteneur,semaine_1,semaine_2,semaine_3,semaine_4,semaine_5,semaine_6,semaine_7,semaine_8,semaine_9,semaine_10,semaine_11,semaine_12,semaine_13,semaine_14,semaine_15,semaine_16,semaine_17,semaine_18,semaine_19,semaine_20,semaine_21,semaine_22,semaine_23,semaine_24,semaine_25,semaine_26,semaine_27,semaine_28,semaine_29,semaine_30,semaine_31,semaine_32,semaine_33,semaine_34,semaine_35,semaine_36,semaine_37,semaine_38,semaine_39,semaine_40,semaine_41,semaine_42,semaine_43,semaine_44,semaine_45,semaine_46,semaine_47,semaine_48,semaine_49,semaine_50,semaine_51,semaine_52,volume_moyen
170,"déchetterie - École du Jura, Grand Bay 16, Avanchets",VERNIER,1214.0,KLEIN,6.0,7.0,3.0,2.0,3.0,5.0,4.0,2.0,3.0,6.0,2.0,4.0,2.0,0.0,5.0,6.0,4.0,4.0,3.0,4.0,6.0,4.0,2.0,5.0,6.0,4.0,6.0,4.0,6.0,3.0,3.0,8.0,2.0,4.0,10.0,8.0,4.0,6.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.346153846153846
100,"Giratoire Lévrier, Avenue Baptista, Avanchets",VERNIER,1214.0,KLEIN,5.0,8.0,3.0,3.0,6.0,7.0,2.0,9.0,1.0,4.0,2.0,3.0,2.0,0.0,4.0,3.0,3.0,4.0,6.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,6.0,5.0,6.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.8846153846153846
352,Avenue de l'Étang / Allée des Grenouilles,VERNIER,1214.0,KLEIN,4.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,4.0,4.0,2.0,2.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,8.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,3.673076923076923
351,Avenue de l'Étang / Allée des Roseaux,VERNIER,1214.0,KLEIN,6.0,3.0,2.0,2.0,6.0,5.0,1.0,8.0,5.0,4.0,4.0,2.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,6.0,5.0,2.0,3.0,7.0,4.0,4.0,4.0,3.0,2.0,8.0,3.0,2.0,4.0,2.0,6.0,8.0,5.0,3.0,3.0,2.0,8.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,3.0,3.8461538461538463
131,déchetterie - Chemin Coudriers / Chemin Corbilettes 1,VERNIER,1214.0,KLEIN,4.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,0.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,7.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,8.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.9038461538461537
80,déchetterie - Rue Chabrey 43,GENEVE,1202.0,KLEIN,6.0,8.0,4.0,4.0,3.0,8.0,4.0,8.0,8.0,3.0,2.0,3.0,4.0,0.0,6.0,8.0,5.0,2.0,3.0,3.0,6.0,4.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,4.0,4.0,5.0,8.0,8.0,3.0,10.0,4.0,6.0,6.0,8.0,6.0,3.0,3.0,4.0,4.0,4.0,5.0,8.0,5.0,5.0,5.0,5.0,5.153846153846154
90,déchetterie - Avenue du Bouchet / Avenue Mervelet,GENEVE,1209.0,KLEIN,6.0,8.0,6.0,4.0,2.0,8.0,5.0,7.0,7.0,6.0,3.0,3.0,3.0,0.0,5.0,4.0,4.0,4.0,3.0,7.0,7.0,8.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,3.0,5.0,4.0,8.0,4.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,3.0,5.0,4.0,4.0,4.0,8.0,6.0,5.0,4.0,5.0,5.0,4.961538461538462
238,Rue Edmond Vaucher 19b,GENEVE,1219.0,KLEIN,4.0,8.0,2.0,4.0,3.0,0.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,0.0,6.0,5.0,3.0,4.0,2.0,3.0,6.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,8.0,2.0,5.0,8.0,2.0,8.0,3.0,3.0,2.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.7115384615384617
106,déchetterie - Avenue de Crozet 48,VERNIER,1214.0,KLEIN,5.0,6.0,2.0,4.0,2.0,0.0,6.0,5.0,5.0,2.0,4.0,4.0,5.0,0.0,5.0,5.0,3.0,4.0,2.0,7.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,8.0,6.0,4.0,4.0,2.0,2.0,4.0,10.0,2.0,3.0,5.0,2.0,3.0,6.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,4.1923076923076925
169,"déchetterie - École de Châtelaine, Chemin des Eglantines 3 (1)",VERNIER,1214.0,KLEIN,4.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,4.0,3.0,2.0,1.0,3.0,0.0,3.0,4.0,2.0,2.0,2.0,7.0,3.0,4.0,1.0,2.0,0.0,8.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,8.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,2.7884615384615383
